payload_size,abacos_publisher_time_stamp_ns,dds_publisher_time_stamp_ns,dds_subscriber_time_stamp_ns,abacos_subscriber_time_stamp_ns
65536,63028315546214,63028315546256,63028316338131,63028316350672
65536,63028415244631,63028415244631,63028415596006,63028420021381
65536,63028515296131,63028515296131,63028515503298,63028515518006
65536,63028615351464,63028615351506,63028615507006,63028615515673
65536,63028715418381,63028715418423,63028715669256,63028715679506
65536,63028815506714,63028815506756,63028815826048,63028815833339
65536,63028916141214,63028916141214,63028916369881,63028916377798
65536,63029016188339,63029016188381,63029016375631,63029016383006
65536,63029116248173,63029116248173,63029116429423,63029116436048
65536,63029216304048,63029216304090,63029216458631,63029216464090
