payload_size,abacos_publisher_time_stamp_ns,dds_publisher_time_stamp_ns,dds_subscriber_time_stamp_ns,abacos_subscriber_time_stamp_ns
1024,63022143033586,63022143033628,63022143086336,63022143102420
1024,63022238090295,63022238090336,63022238141211,63022238153878
1024,63022338151378,63022338151420,63022338200711,63022338210420
1024,63022438202211,63022438202211,63022440049336,63022440054711
1024,63022538254253,63022538254253,63022538292628,63022538296711
1024,63022638312128,63022638312128,63022638350461,63022638354586
1024,63022738372003,63022738372003,63022738482753,63022738496378
1024,63022838437878,63022838437878,63022838542670,63022838551003
1024,63022938497087,63022938497128,63022938556545,63022938561337
1024,63023038552545,63023038552545,63023038617670,63023038625920
