payload_size,abacos_publisher_time_stamp_ns,dds_publisher_time_stamp_ns,dds_subscriber_time_stamp_ns,abacos_subscriber_time_stamp_ns
4096,63024292103171,63024292103171,63024292212087,63024292223754
4096,63024392228254,63024392228296,63024392322254,63024392330962
4096,63024492220671,63024492220712,63024492294254,63024492301504
4096,63024592276504,63024592276504,63024592330629,63024592335879
4096,63024692339421,63024692339462,63024692421837,63024692429712
4096,63024792397754,63024792397754,63024792475629,63024792481962
4096,63024892451796,63024892451796,63024892531004,63024892539754
4096,63024992577796,63024992577838,63024992680213,63024992688504
4096,63025092597421,63025092597463,63025092710963,63025092724713
