payload_size,abacos_publisher_time_stamp_ns,dds_publisher_time_stamp_ns,dds_subscriber_time_stamp_ns,abacos_subscriber_time_stamp_ns
64,63018121607293,63018121607293,63018121687334,63018121705168
64,63018221659043,63018221659043,63018221707251,63018221714043
64,63018321724459,63018321724501,63018321761293,63018321766793
64,63018421774168,63018421774168,63018421804876,63018421809334
64,63018521824209,63018521824251,63018521864334,63018521870209
64,63018621879251,63018621879293,63018621911834,63018621916668
64,63018721939876,63018721939918,63018722012376,63018722019751
64,63018822122168,63018822122168,63018822193918,63018822202543
64,63018922181876,63018922181876,63018922237751,63018922243751
