payload_size,abacos_publisher_time_stamp_ns,dds_publisher_time_stamp_ns,dds_subscriber_time_stamp_ns,abacos_subscriber_time_stamp_ns
256,63020200624127,63020200624127,63020200678877,63020200694585
256,63020300681919,63020300681919,63020300742794,63020300753877
256,63020400735377,63020400735377,63020400789169,63020400795669
256,63020500793710,63020500793752,63020500827419,63020500831752
256,63020600850669,63020600850710,63020600884544,63020600888835
256,63020700908544,63020700908585,63020700939544,63020700943419
256,63020800969836,63020800969836,63020801019336,63020801023836
256,63020901029544,63020901029544,63020901101294,63020901109169
256,63021001087252,63021001087294,63021001149294,63021001156836
