payload_size,abacos_publisher_time_stamp_ns,dds_publisher_time_stamp_ns,dds_subscriber_time_stamp_ns,abacos_subscriber_time_stamp_ns
4096,62740080092750,62740080092792,62740085037875,62740085053167
4096,62740180137000,62740180137042,62740180248375,62740180256000
4096,62740280210375,62740280210417,62740289022792,62740289028000
4096,62740380262000,62740380262042,62740390013500,62740390016667
4096,62740480318500,62740480318542,62740492016125,62740492018667
4096,62740580371584,62740580371584,62740607015625,62740607018542
4096,62740680430459,62740680430459,62740680465375,62740680470750
4096,62740780501334,62740780501375,62740780589542,62740780594000
4096,62740880566792,62740880566792,62740880654625,62740880662750
