payload_size,abacos_publisher_time_stamp_ns,dds_publisher_time_stamp_ns,dds_subscriber_time_stamp_ns,abacos_subscriber_time_stamp_ns
16384,62744125097919,62744125097960,62744125237835,62744125243502
16384,62744225149794,62744225149835,62744235023669,62744235026752
16384,62744325205502,62744325205544,62744325271252,62744325276377
16384,62744425267127,62744425267127,62744435020377,62744435025544
16384,62744525331127,62744525331169,62744536487377,62744536492752
16384,62744625405877,62744625405877,62744629027794,62744629033669
16384,62744725478044,62744725478044,62744736030627,62744736036086
16384,62744825513919,62744825513919,62744837600586,62744837605461
16384,62744925574461,62744925574461,62744927824711,62744927838002
