payload_size,abacos_publisher_time_stamp_ns,dds_publisher_time_stamp_ns,dds_subscriber_time_stamp_ns,abacos_subscriber_time_stamp_ns
64,62727767088162,62727767088162,62727773050495,62727773088953
64,62727867155745,62727867155745,62727887135745,62727887140828
64,62727967204245,62727967204245,62727968015162,62727968018703
64,62728067258953,62728067258995,62728072034412,62728072037078
64,62728167315787,62728167315787,62728168021870,62728168024412
64,62728267371870,62728267371870,62728280960912,62728280970162
64,62728367439162,62728367439162,62728380023037,62728380027995
64,62728467489329,62728467489329,62728467520162,62728467523537
64,62728567544745,62728567544745,62728577039245,62728577042495
