payload_size,abacos_publisher_time_stamp_ns,dds_publisher_time_stamp_ns,dds_subscriber_time_stamp_ns,abacos_subscriber_time_stamp_ns
1024,62735966229457,62735966229457,62735971023582,62735971041540
1024,62736066273957,62736066273999,62736066819499,62736066826082
1024,62736166338499,62736166338499,62736166441707,62736166447207
1024,62736266410166,62736266410166,62736279016082,62736279020166
1024,62736366468249,62736366468291,62736370957582,62736370961874
1024,62736466527916,62736466527957,62736469336791,62736469341707
1024,62736566583541,62736566583541,62736576270791,62736576276374
1024,62736666649166,62736666649207,62736666926541,62736666930541
1024,62736766723666,62736766723666,62736767368291,62736767372124
