payload_size,abacos_publisher_time_stamp_ns,dds_publisher_time_stamp_ns,dds_subscriber_time_stamp_ns,abacos_subscriber_time_stamp_ns
256,62731857088330,62731857088330,62731874038872,62731874060622
256,62731957147997,62731957148039,62731962029580,62731962037164
256,62732057205205,62732057205205,62732062021747,62732062026955
256,62732157261205,62732157261205,62732167014039,62732167017122
256,62732257318164,62732257318164,62732257338747,62732257340997
256,62732357389955,62732357389955,62732359425914,62732359428705
256,62732458194414,62732458194455,62732461279622,62732461284330
256,62732558246205,62732558246205,62732567026789,62732567030830
256,62732658304372,62732658304372,62732664013872,62732664016622
